

		----------------------- VACCINATED RATIO = 0.0 ---------------




		----------------------- K = 1 ---------------


Day 0 	#Susceptible = 9995 	#Infected = 5 (+0) 	#Recovered = 0 (+0)
Day 53 	#Susceptible = 28 	#Infected = 452 (+0) 	#Recovered = 9520 (+36)
Day 54 	#Susceptible = 28 	#Infected = 408 (+0) 	#Recovered = 9564 (+44)
Day 55 	#Susceptible = 28 	#Infected = 373 (+0) 	#Recovered = 9599 (+35)
Day 56 	#Susceptible = 28 	#Infected = 354 (+0) 	#Recovered = 9618 (+19)
Day 57 	#Susceptible = 28 	#Infected = 331 (+0) 	#Recovered = 9641 (+23)
Day 58 	#Susceptible = 28 	#Infected = 313 (+0) 	#Recovered = 9659 (+18)
Day 59 	#Susceptible = 28 	#Infected = 296 (+0) 	#Recovered = 9676 (+17)
Day 60 	#Susceptible = 28 	#Infected = 280 (+0) 	#Recovered = 9692 (+16)
Day 61 	#Susceptible = 28 	#Infected = 260 (+0) 	#Recovered = 9712 (+20)
Day 62 	#Susceptible = 28 	#Infected = 239 (+0) 	#Recovered = 9733 (+21)
Day 63 	#Susceptible = 28 	#Infected = 216 (+0) 	#Recovered = 9756 (+23)
Day 64 	#Susceptible = 28 	#Infected = 202 (+0) 	#Recovered = 9770 (+14)
Day 65 	#Susceptible = 28 	#Infected = 181 (+0) 	#Recovered = 9791 (+21)
Day 66 	#Susceptible = 28 	#Infected = 168 (+0) 	#Recovered = 9804 (+13)
Day 67 	#Susceptible = 28 	#Infected = 155 (+0) 	#Recovered = 9817 (+13)
Day 68 	#Susceptible = 28 	#Infected = 141 (+0) 	#Recovered = 9831 (+14)
Day 69 	#Susceptible = 28 	#Infected = 133 (+0) 	#Recovered = 9839 (+8)
Day 70 	#Susceptible = 28 	#Infected = 123 (+0) 	#Recovered = 9849 (+10)
Day 71 	#Susceptible = 28 	#Infected = 117 (+0) 	#Recovered = 9855 (+6)
Day 72 	#Susceptible = 28 	#Infected = 107 (+0) 	#Recovered = 9865 (+10)
Day 73 	#Susceptible = 28 	#Infected = 97 (+0) 	#Recovered = 9875 (+10)
Day 74 	#Susceptible = 28 	#Infected = 90 (+0) 	#Recovered = 9882 (+7)
Day 75 	#Susceptible = 28 	#Infected = 84 (+0) 	#Recovered = 9888 (+6)
Day 76 	#Susceptible = 28 	#Infected = 82 (+0) 	#Recovered = 9890 (+2)
Day 77 	#Susceptible = 28 	#Infected = 78 (+0) 	#Recovered = 9894 (+4)
Day 78 	#Susceptible = 28 	#Infected = 74 (+0) 	#Recovered = 9898 (+4)
Day 79 	#Susceptible = 28 	#Infected = 68 (+0) 	#Recovered = 9904 (+6)
Day 80 	#Susceptible = 28 	#Infected = 62 (+0) 	#Recovered = 9910 (+6)
Day 81 	#Susceptible = 28 	#Infected = 57 (+0) 	#Recovered = 9915 (+5)
Day 82 	#Susceptible = 28 	#Infected = 55 (+0) 	#Recovered = 9917 (+2)
Day 83 	#Susceptible = 28 	#Infected = 52 (+0) 	#Recovered = 9920 (+3)
Day 84 	#Susceptible = 28 	#Infected = 49 (+0) 	#Recovered = 9923 (+3)
Day 85 	#Susceptible = 28 	#Infected = 45 (+0) 	#Recovered = 9927 (+4)
Day 86 	#Susceptible = 28 	#Infected = 43 (+0) 	#Recovered = 9929 (+2)
Day 87 	#Susceptible = 28 	#Infected = 41 (+0) 	#Recovered = 9931 (+2)
Day 88 	#Susceptible = 28 	#Infected = 41 (+0) 	#Recovered = 9931 (+0)
Day 89 	#Susceptible = 28 	#Infected = 37 (+0) 	#Recovered = 9935 (+4)
Day 90 	#Susceptible = 28 	#Infected = 34 (+0) 	#Recovered = 9938 (+3)
Day 91 	#Susceptible = 28 	#Infected = 30 (+0) 	#Recovered = 9942 (+4)
Day 92 	#Susceptible = 28 	#Infected = 29 (+0) 	#Recovered = 9943 (+1)
Day 93 	#Susceptible = 28 	#Infected = 28 (+0) 	#Recovered = 9944 (+1)
Day 94 	#Susceptible = 28 	#Infected = 21 (+0) 	#Recovered = 9951 (+7)
Day 95 	#Susceptible = 28 	#Infected = 20 (+0) 	#Recovered = 9952 (+1)
Day 96 	#Susceptible = 28 	#Infected = 19 (+0) 	#Recovered = 9953 (+1)
Day 97 	#Susceptible = 28 	#Infected = 17 (+0) 	#Recovered = 9955 (+2)
Day 98 	#Susceptible = 28 	#Infected = 17 (+0) 	#Recovered = 9955 (+0)
Day 99 	#Susceptible = 28 	#Infected = 14 (+0) 	#Recovered = 9958 (+3)
Day 100 	#Susceptible = 28 	#Infected = 13 (+0) 	#Recovered = 9959 (+1)
Day 101 	#Susceptible = 28 	#Infected = 13 (+0) 	#Recovered = 9959 (+0)
Day 102 	#Susceptible = 28 	#Infected = 13 (+0) 	#Recovered = 9959 (+0)
Day 103 	#Susceptible = 28 	#Infected = 13 (+0) 	#Recovered = 9959 (+0)
Day 104 	#Susceptible = 28 	#Infected = 13 (+0) 	#Recovered = 9959 (+0)
Day 105 	#Susceptible = 28 	#Infected = 13 (+0) 	#Recovered = 9959 (+0)
Day 106 	#Susceptible = 28 	#Infected = 13 (+0) 	#Recovered = 9959 (+0)
Day 107 	#Susceptible = 28 	#Infected = 11 (+0) 	#Recovered = 9961 (+2)
Day 108 	#Susceptible = 28 	#Infected = 9 (+0) 	#Recovered = 9963 (+2)
Day 109 	#Susceptible = 28 	#Infected = 8 (+0) 	#Recovered = 9964 (+1)
Day 110 	#Susceptible = 28 	#Infected = 6 (+0) 	#Recovered = 9966 (+2)
Day 111 	#Susceptible = 28 	#Infected = 6 (+0) 	#Recovered = 9966 (+0)
Day 112 	#Susceptible = 28 	#Infected = 6 (+0) 	#Recovered = 9966 (+0)
Day 113 	#Susceptible = 28 	#Infected = 4 (+0) 	#Recovered = 9968 (+2)
Day 114 	#Susceptible = 28 	#Infected = 4 (+0) 	#Recovered = 9968 (+0)
Day 115 	#Susceptible = 28 	#Infected = 4 (+0) 	#Recovered = 9968 (+0)
Day 116 	#Susceptible = 28 	#Infected = 3 (+0) 	#Recovered = 9969 (+1)
Day 117 	#Susceptible = 28 	#Infected = 3 (+0) 	#Recovered = 9969 (+0)
Day 118 	#Susceptible = 28 	#Infected = 3 (+0) 	#Recovered = 9969 (+0)
Day 119 	#Susceptible = 28 	#Infected = 3 (+0) 	#Recovered = 9969 (+0)
Day 120 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+1)
Day 121 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+0)
Day 122 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+0)
Day 123 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+0)
Day 124 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+0)
Day 125 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+0)
Day 126 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+0)
Day 127 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+0)
Day 128 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+0)
Day 129 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+0)
Day 130 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+0)
Day 131 	#Susceptible = 28 	#Infected = 2 (+0) 	#Recovered = 9970 (+0)
Day 132 	#Susceptible = 28 	#Infected = 0 (+0) 	#Recovered = 9972 (+2)


		----------------------- K = 2 ---------------


Day 0 	#Susceptible = 9995 	#Infected = 5 (+0) 	#Recovered = 0 (+0)
Day 1 	#Susceptible = 9990 	#Infected = 10 (+5) 	#Recovered = 0 (+0)
Day 2 	#Susceptible = 9976 	#Infected = 24 (+14) 	#Recovered = 0 (+0)
Day 3 	#Susceptible = 9930 	#Infected = 67 (+46) 	#Recovered = 3 (+3)
Day 4 	#Susceptible = 9802 	#Infected = 192 (+128) 	#Recovered = 6 (+3)
Day 5 	#Susceptible = 9470 	#Infected = 512 (+332) 	#Recovered = 18 (+12)
Day 6 	#Susceptible = 8807 	#Infected = 1144 (+663) 	#Recovered = 49 (+31)
Day 7 	#Susceptible = 7674 	#Infected = 2196 (+1133) 	#Recovered = 130 (+81)
Day 8 	#Susceptible = 6201 	#Infected = 3530 (+1473) 	#Recovered = 269 (+139)
Day 9 	#Susceptible = 4693 	#Infected = 4806 (+1508) 	#Recovered = 501 (+232)
Day 10 	#Susceptible = 3424 	#Infected = 5758 (+1269) 	#Recovered = 818 (+317)
Day 11 	#Susceptible = 2379 	#Infected = 6370 (+1045) 	#Recovered = 1251 (+433)
Day 12 	#Susceptible = 1652 	#Infected = 6635 (+727) 	#Recovered = 1713 (+462)
Day 13 	#Susceptible = 1163 	#Infected = 6635 (+489) 	#Recovered = 2202 (+489)
Day 14 	#Susceptible = 853 	#Infected = 6460 (+310) 	#Recovered = 2687 (+485)
Day 15 	#Susceptible = 593 	#Infected = 6274 (+260) 	#Recovered = 3133 (+446)
Day 16 	#Susceptible = 441 	#Infected = 5990 (+152) 	#Recovered = 3569 (+436)
Day 17 	#Susceptible = 349 	#Infected = 5643 (+92) 	#Recovered = 4008 (+439)
Day 18 	#Susceptible = 278 	#Infected = 5281 (+71) 	#Recovered = 4441 (+433)
Day 19 	#Susceptible = 214 	#Infected = 4962 (+64) 	#Recovered = 4824 (+383)
Day 20 	#Susceptible = 170 	#Infected = 4658 (+44) 	#Recovered = 5172 (+348)
Day 21 	#Susceptible = 144 	#Infected = 4353 (+26) 	#Recovered = 5503 (+331)
Day 22 	#Susceptible = 118 	#Infected = 4078 (+26) 	#Recovered = 5804 (+301)
Day 23 	#Susceptible = 99 	#Infected = 3816 (+19) 	#Recovered = 6085 (+281)
Day 24 	#Susceptible = 85 	#Infected = 3574 (+14) 	#Recovered = 6341 (+256)
Day 25 	#Susceptible = 75 	#Infected = 3359 (+10) 	#Recovered = 6566 (+225)
Day 26 	#Susceptible = 68 	#Infected = 3120 (+7) 	#Recovered = 6812 (+246)
Day 27 	#Susceptible = 62 	#Infected = 2910 (+6) 	#Recovered = 7028 (+216)
Day 28 	#Susceptible = 59 	#Infected = 2723 (+3) 	#Recovered = 7218 (+190)
Day 29 	#Susceptible = 52 	#Infected = 2523 (+7) 	#Recovered = 7425 (+207)
Day 30 	#Susceptible = 50 	#Infected = 2370 (+2) 	#Recovered = 7580 (+155)
Day 31 	#Susceptible = 49 	#Infected = 2215 (+1) 	#Recovered = 7736 (+156)
Day 32 	#Susceptible = 47 	#Infected = 2060 (+2) 	#Recovered = 7893 (+157)
Day 33 	#Susceptible = 45 	#Infected = 1923 (+2) 	#Recovered = 8032 (+139)
Day 34 	#Susceptible = 45 	#Infected = 1787 (+0) 	#Recovered = 8168 (+136)
Day 35 	#Susceptible = 42 	#Infected = 1671 (+3) 	#Recovered = 8287 (+119)
Day 36 	#Susceptible = 41 	#Infected = 1559 (+1) 	#Recovered = 8400 (+113)
Day 37 	#Susceptible = 39 	#Infected = 1451 (+2) 	#Recovered = 8510 (+110)
Day 38 	#Susceptible = 39 	#Infected = 1358 (+0) 	#Recovered = 8603 (+93)
Day 39 	#Susceptible = 37 	#Infected = 1240 (+2) 	#Recovered = 8723 (+120)
Day 40 	#Susceptible = 37 	#Infected = 1145 (+0) 	#Recovered = 8818 (+95)
Day 41 	#Susceptible = 36 	#Infected = 1065 (+1) 	#Recovered = 8899 (+81)
Day 42 	#Susceptible = 35 	#Infected = 994 (+1) 	#Recovered = 8971 (+72)
Day 43 	#Susceptible = 33 	#Infected = 938 (+2) 	#Recovered = 9029 (+58)
Day 44 	#Susceptible = 33 	#Infected = 863 (+0) 	#Recovered = 9104 (+75)
Day 45 	#Susceptible = 33 	#Infected = 808 (+0) 	#Recovered = 9159 (+55)
Day 46 	#Susceptible = 32 	#Infected = 746 (+1) 	#Recovered = 9222 (+63)
Day 47 	#Susceptible = 32 	#Infected = 699 (+0) 	#Recovered = 9269 (+47)
Day 48 	#Susceptible = 32 	#Infected = 662 (+0) 	#Recovered = 9306 (+37)
Day 49 	#Susceptible = 32 	#Infected = 614 (+0) 	#Recovered = 9354 (+48)
Day 50 	#Susceptible = 32 	#Infected = 566 (+0) 	#Recovered = 9402 (+48)
Day 51 	#Susceptible = 31 	#Infected = 528 (+1) 	#Recovered = 9441 (+39)
Day 52 	#Susceptible = 31 	#Infected = 493 (+0) 	#Recovered = 9476 (+35)
Day 53 	#Susceptible = 31 	#Infected = 467 (+0) 	#Recovered = 9502 (+26)
Day 54 	#Susceptible = 31 	#Infected = 431 (+0) 	#Recovered = 9538 (+36)
Day 55 	#Susceptible = 31 	#Infected = 396 (+0) 	#Recovered = 9573 (+35)
Day 56 	#Susceptible = 31 	#Infected = 373 (+0) 	#Recovered = 9596 (+23)
Day 57 	#Susceptible = 31 	#Infected = 352 (+0) 	#Recovered = 9617 (+21)
Day 58 	#Susceptible = 31 	#Infected = 327 (+0) 	#Recovered = 9642 (+25)
Day 59 	#Susceptible = 30 	#Infected = 308 (+1) 	#Recovered = 9662 (+20)
Day 60 	#Susceptible = 30 	#Infected = 293 (+0) 	#Recovered = 9677 (+15)
Day 61 	#Susceptible = 30 	#Infected = 277 (+0) 	#Recovered = 9693 (+16)
Day 62 	#Susceptible = 30 	#Infected = 263 (+0) 	#Recovered = 9707 (+14)
Day 63 	#Susceptible = 30 	#Infected = 243 (+0) 	#Recovered = 9727 (+20)
Day 64 	#Susceptible = 30 	#Infected = 226 (+0) 	#Recovered = 9744 (+17)
Day 65 	#Susceptible = 30 	#Infected = 203 (+0) 	#Recovered = 9767 (+23)
Day 66 	#Susceptible = 30 	#Infected = 191 (+0) 	#Recovered = 9779 (+12)
Day 67 	#Susceptible = 30 	#Infected = 178 (+0) 	#Recovered = 9792 (+13)
Day 68 	#Susceptible = 29 	#Infected = 165 (+1) 	#Recovered = 9806 (+14)
Day 69 	#Susceptible = 29 	#Infected = 153 (+0) 	#Recovered = 9818 (+12)
Day 70 	#Susceptible = 29 	#Infected = 146 (+0) 	#Recovered = 9825 (+7)
Day 71 	#Susceptible = 29 	#Infected = 132 (+0) 	#Recovered = 9839 (+14)
Day 72 	#Susceptible = 29 	#Infected = 123 (+0) 	#Recovered = 9848 (+9)
Day 73 	#Susceptible = 29 	#Infected = 115 (+0) 	#Recovered = 9856 (+8)
Day 74 	#Susceptible = 29 	#Infected = 105 (+0) 	#Recovered = 9866 (+10)
Day 75 	#Susceptible = 29 	#Infected = 97 (+0) 	#Recovered = 9874 (+8)
Day 76 	#Susceptible = 29 	#Infected = 87 (+0) 	#Recovered = 9884 (+10)
Day 77 	#Susceptible = 29 	#Infected = 86 (+0) 	#Recovered = 9885 (+1)
Day 78 	#Susceptible = 29 	#Infected = 81 (+0) 	#Recovered = 9890 (+5)
Day 79 	#Susceptible = 29 	#Infected = 77 (+0) 	#Recovered = 9894 (+4)
Day 80 	#Susceptible = 29 	#Infected = 71 (+0) 	#Recovered = 9900 (+6)
Day 81 	#Susceptible = 29 	#Infected = 66 (+0) 	#Recovered = 9905 (+5)
Day 82 	#Susceptible = 29 	#Infected = 62 (+0) 	#Recovered = 9909 (+4)
Day 83 	#Susceptible = 29 	#Infected = 55 (+0) 	#Recovered = 9916 (+7)
Day 84 	#Susceptible = 29 	#Infected = 51 (+0) 	#Recovered = 9920 (+4)
Day 85 	#Susceptible = 29 	#Infected = 50 (+0) 	#Recovered = 9921 (+1)
Day 86 	#Susceptible = 29 	#Infected = 44 (+0) 	#Recovered = 9927 (+6)
Day 87 	#Susceptible = 29 	#Infected = 40 (+0) 	#Recovered = 9931 (+4)
Day 88 	#Susceptible = 29 	#Infected = 38 (+0) 	#Recovered = 9933 (+2)
Day 89 	#Susceptible = 29 	#Infected = 36 (+0) 	#Recovered = 9935 (+2)
Day 90 	#Susceptible = 29 	#Infected = 35 (+0) 	#Recovered = 9936 (+1)
Day 91 	#Susceptible = 29 	#Infected = 31 (+0) 	#Recovered = 9940 (+4)
Day 92 	#Susceptible = 29 	#Infected = 30 (+0) 	#Recovered = 9941 (+1)
Day 93 	#Susceptible = 29 	#Infected = 25 (+0) 	#Recovered = 9946 (+5)
Day 94 	#Susceptible = 29 	#Infected = 24 (+0) 	#Recovered = 9947 (+1)
Day 95 	#Susceptible = 29 	#Infected = 24 (+0) 	#Recovered = 9947 (+0)
Day 96 	#Susceptible = 29 	#Infected = 24 (+0) 	#Recovered = 9947 (+0)
Day 97 	#Susceptible = 29 	#Infected = 24 (+0) 	#Recovered = 9947 (+0)
Day 98 	#Susceptible = 29 	#Infected = 22 (+0) 	#Recovered = 9949 (+2)
Day 99 	#Susceptible = 29 	#Infected = 22 (+0) 	#Recovered = 9949 (+0)
Day 100 	#Susceptible = 29 	#Infected = 19 (+0) 	#Recovered = 9952 (+3)
Day 101 	#Susceptible = 29 	#Infected = 18 (+0) 	#Recovered = 9953 (+1)
Day 102 	#Susceptible = 29 	#Infected = 17 (+0) 	#Recovered = 9954 (+1)
Day 103 	#Susceptible = 29 	#Infected = 17 (+0) 	#Recovered = 9954 (+0)
Day 104 	#Susceptible = 29 	#Infected = 17 (+0) 	#Recovered = 9954 (+0)
Day 105 	#Susceptible = 29 	#Infected = 14 (+0) 	#Recovered = 9957 (+3)
Day 106 	#Susceptible = 29 	#Infected = 13 (+0) 	#Recovered = 9958 (+1)
Day 107 	#Susceptible = 29 	#Infected = 13 (+0) 	#Recovered = 9958 (+0)
Day 108 	#Susceptible = 29 	#Infected = 13 (+0) 	#Recovered = 9958 (+0)
Day 109 	#Susceptible = 29 	#Infected = 12 (+0) 	#Recovered = 9959 (+1)
Day 110 	#Susceptible = 29 	#Infected = 11 (+0) 	#Recovered = 9960 (+1)
Day 111 	#Susceptible = 29 	#Infected = 11 (+0) 	#Recovered = 9960 (+0)
Day 112 	#Susceptible = 29 	#Infected = 10 (+0) 	#Recovered = 9961 (+1)
Day 113 	#Susceptible = 29 	#Infected = 10 (+0) 	#Recovered = 9961 (+0)
Day 114 	#Susceptible = 29 	#Infected = 10 (+0) 	#Recovered = 9961 (+0)
Day 115 	#Susceptible = 29 	#Infected = 7 (+0) 	#Recovered = 9964 (+3)
Day 116 	#Susceptible = 29 	#Infected = 6 (+0) 	#Recovered = 9965 (+1)
Day 117 	#Susceptible = 29 	#Infected = 5 (+0) 	#Recovered = 9966 (+1)
Day 118 	#Susceptible = 29 	#Infected = 4 (+0) 	#Recovered = 9967 (+1)
Day 119 	#Susceptible = 29 	#Infected = 4 (+0) 	#Recovered = 9967 (+0)
Day 120 	#Susceptible = 29 	#Infected = 4 (+0) 	#Recovered = 9967 (+0)
Day 121 	#Susceptible = 29 	#Infected = 3 (+0) 	#Recovered = 9968 (+1)
Day 122 	#Susceptible = 29 	#Infected = 3 (+0) 	#Recovered = 9968 (+0)
Day 123 	#Susceptible = 29 	#Infected = 3 (+0) 	#Recovered = 9968 (+0)
Day 124 	#Susceptible = 29 	#Infected = 2 (+0) 	#Recovered = 9969 (+1)
Day 125 	#Susceptible = 29 	#Infected = 2 (+0) 	#Recovered = 9969 (+0)
Day 126 	#Susceptible = 29 	#Infected = 2 (+0) 	#Recovered = 9969 (+0)
Day 127 	#Susceptible = 29 	#Infected = 2 (+0) 	#Recovered = 9969 (+0)
Day 128 	#Susceptible = 29 	#Infected = 2 (+0) 	#Recovered = 9969 (+0)
Day 129 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+1)
Day 130 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+0)
Day 131 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+0)
Day 132 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+0)
Day 133 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+0)
Day 134 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+0)
Day 135 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+0)
Day 136 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+0)
Day 137 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+0)
Day 138 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+0)
Day 139 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+0)
Day 140 	#Susceptible = 29 	#Infected = 1 (+0) 	#Recovered = 9970 (+0)
Day 141 	#Susceptible = 29 	#Infected = 0 (+0) 	#Recovered = 9971 (+1)


		----------------------- K = 3 ---------------


Day 0 	#Susceptible = 9995 	#Infected = 5 (+0) 	#Recovered = 0 (+0)
Day 1 	#Susceptible = 9995 	#Infected = 4 (+0) 	#Recovered = 1 (+1)
Day 2 	#Susceptible = 9995 	#Infected = 3 (+0) 	#Recovered = 2 (+1)
Day 3 	#Susceptible = 9994 	#Infected = 4 (+1) 	#Recovered = 2 (+0)
Day 4 	#Susceptible = 9987 	#Infected = 11 (+7) 	#Recovered = 2 (+0)
Day 5 	#Susceptible = 9968 	#Infected = 29 (+19) 	#Recovered = 3 (+1)
Day 6 	#Susceptible = 9914 	#Infected = 83 (+54) 	#Recovered = 3 (+0)
Day 7 	#Susceptible = 9785 	#Infected = 206 (+129) 	#Recovered = 9 (+6)
Day 8 	#Susceptible = 9427 	#Infected = 553 (+358) 	#Recovered = 20 (+11)
Day 9 	#Susceptible = 8714 	#Infected = 1224 (+713) 	#Recovered = 62 (+42)
Day 10 	#Susceptible = 7589 	#Infected = 2240 (+1125) 	#Recovered = 171 (+109)
Day 11 	#Susceptible = 6196 	#Infected = 3496 (+1393) 	#Recovered = 308 (+137)
Day 12 	#Susceptible = 4709 	#Infected = 4719 (+1487) 	#Recovered = 572 (+264)
Day 13 	#Susceptible = 3449 	#Infected = 5657 (+1260) 	#Recovered = 894 (+322)
Day 14 	#Susceptible = 2456 	#Infected = 6258 (+993) 	#Recovered = 1286 (+392)
Day 15 	#Susceptible = 1755 	#Infected = 6522 (+701) 	#Recovered = 1723 (+437)
Day 16 	#Susceptible = 1261 	#Infected = 6525 (+494) 	#Recovered = 2214 (+491)
Day 17 	#Susceptible = 902 	#Infected = 6417 (+359) 	#Recovered = 2681 (+467)
Day 18 	#Susceptible = 645 	#Infected = 6210 (+257) 	#Recovered = 3145 (+464)
Day 19 	#Susceptible = 473 	#Infected = 5942 (+172) 	#Recovered = 3585 (+440)
Day 20 	#Susceptible = 361 	#Infected = 5652 (+112) 	#Recovered = 3987 (+402)
Day 21 	#Susceptible = 283 	#Infected = 5337 (+78) 	#Recovered = 4380 (+393)
Day 22 	#Susceptible = 236 	#Infected = 5016 (+47) 	#Recovered = 4748 (+368)
